audit_version,cohort,galaxy_id,cohort_role,l1_rotation_available,n_radial_points,r_min_kpc,r_max_kpc,radial_coverage_kpc,v_obs_available,v_err_available,l2_baryonic_available,v_bar_available,v_gas_available,v_disk_available,v_bulge_available,missing_baryonic_component_flag,baryonic_sufficient_for_scaffold,l3_frozen_tdf_available,frozen_tdf_3knot_profile_exists,frozen_tau_profile_available,frozen_dtaudr_available,frozen_K_tau_value,K_g_config_value,K_g_matches_frozen_K_tau,failure_mode_classification,counts_as_primary_success_expansion20,tdf_3knot_holdout_rmse_kms,holdout_stable_for_primary_pilot,holdout_status,l4_geometry_available,geometry_complete_flag,distance_mpc,inclination_deg,position_angle_available,morphological_type,disk_scale_length_kpc,luminosity_3p6_lsun,photometry_metadata_available,axisymmetric_pseudo_2d_attemptable,l5_surface_brightness_metadata,sb_disk_profile_points,sb_bulge_profile_points,sparc_photometry_metadata_available,true_2d_pixel_map_available,map_type_axisymmetric_pseudo_2d,map_type_sky_projected,map_type_true_2d_sigma_b,map_type_deflection_lensing_proxy,surface_brightness_1d_profile,true_2d_status,lensing_status,l6_second_channel_lensing_data,max_abs_dtaudr,max_dtaudr_adjacent_jump_rel,dtaudr_jump_within_threshold,median_v_err_kms,selection_rank_expansion20,primary_pilot_eligible,pilot_tier,is_primary_pilot,pilot_rank_score,claim_no_dm_disproof,claim_no_full_sparc_validation,claim_no_lensing_confirmation,claim_no_universal_tau_profile,claim_no_true_2d_without_2d_data,claim_phase6_separate_from_phase5_15_of_20,notes
phase_6b_v1,expansion_20,NGC7814,original_controlled_six,True,18,0.63,19.53,18.900000000000002,True,True,True,True,True,True,True,False,True,True,True,True,True,1.0,1.0,True,tdf_failure_mode,False,155.80246506165764,False,tdf_failure_mode,True,True,14.4,90.0,False,2.0,2.54,74.529,True,True,True,18,18,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,80202.57238095242,1.5213418989090859,False,4.825,6.0,False,tier_3_avoid_defer,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,UGC00128,expansion_addition,True,22,1.25,53.75,52.5,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,mixed_result,False,2.997171278689861,True,mixed_result,True,True,64.5,57.0,False,8.0,5.95,12.02,True,True,True,22,22,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,1085.610672,3.187568218781048,False,1.25,12.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,UGC02953,expansion_addition,True,115,0.09,62.39,62.3,True,True,True,True,True,True,True,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,37.79618696343891,False,robust_tdf_success,True,True,16.5,50.0,False,2.0,3.55,259.518,True,True,True,115,115,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,519260.5,10.88163358626516,False,4.92,7.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,UGC05253,expansion_addition,True,73,0.13,53.29,53.16,True,True,True,True,True,True,True,False,True,True,True,True,True,1.0,1.0,True,sensitivity_recovery,False,48.51663439159767,False,sensitivity_recovery,True,True,22.9,37.0,False,2.0,8.07,171.582,True,True,True,73,73,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,240408.96999999997,3.8587181459656095,False,3.84,8.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,UGC06787,expansion_addition,True,71,0.12,37.19,37.07,True,True,True,True,True,True,True,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,38.28669280316341,False,robust_tdf_success,True,True,21.3,66.0,False,2.0,5.37,98.256,True,True,True,71,71,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,143565.13541666677,10.604377180092353,False,3.6,10.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,UGC07524,expansion_addition,True,31,0.35,10.69,10.34,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,1.6308767927854229,True,robust_tdf_success,True,True,4.74,46.0,False,9.0,3.46,2.436,True,True,True,31,31,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,687.5668357487924,5.345101835327162,False,3.26,19.0,True,tier_1_primary_candidate,True,0.6621952578399305,True,True,True,True,True,True,Phase 6B ranked primary pilot (top 5 tier-1).
phase_6b_v1,expansion_20,UGC08490,expansion_addition,True,30,0.34,10.15,9.81,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,1.1335625032069097,True,robust_tdf_success,True,True,4.65,50.0,False,9.0,0.67,1.017,True,True,True,30,30,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,2140.808823529411,0.3832941095655159,False,3.69,20.0,True,tier_1_primary_candidate,True,0.636518848237024,True,True,True,True,True,True,Phase 6B ranked primary pilot (top 5 tier-1).
phase_6b_v1,expansion_20,UGC09133,expansion_addition,True,68,0.32,108.31,107.99000000000001,True,True,True,True,True,True,True,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,33.237350285826786,False,robust_tdf_success,True,True,57.1,53.0,False,2.0,6.97,282.926,True,True,True,68,68,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,137104.3246875,1.4599952767895912,False,4.484999999999999,9.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,UGC11455,expansion_addition,True,36,0.62,41.93,41.31,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,15.80879861186421,False,robust_tdf_success,True,True,78.6,90.0,False,6.0,5.93,374.322,True,True,True,36,36,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,7162.427431693991,1.7872731467513776,False,7.025,15.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,UGC12506,expansion_addition,True,31,0.82,49.99,49.17,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,sensitivity_recovery,False,11.918855070426869,False,sensitivity_recovery,True,True,100.6,86.0,False,6.0,7.38,139.571,True,True,True,31,31,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,12577.77512195122,0.40515112299579864,False,11.6,14.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
